,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,1,19.66724157507997,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,2,19.65384534711484,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,3,19.391939879977144,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,4,19.775294699007645,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,5,19.821781972888857,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,6,19.612157700001262,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,7,20.07627307297662,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,8,19.80092535703443,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,random_PDFA_nominal_size_200_10_0,200,200,9,19.6752076119883,2882,5,413.0,7.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,1,15.494095225003548,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,2,15.435651737032458,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,3,15.648278493899852,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,4,15.530850769020617,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,5,15.539314601919614,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,6,15.55130959104281,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,7,15.3991853389889,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
16,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,8,15.605891935061663,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
17,WLStarLearner,random_PDFA_nominal_size_200_10_1,195,195,9,15.485869310912676,2756,5,395.0,7.0,,,0.0,0.0,1.0,0,0,0.0
18,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,1,28.366345693939365,3391,6,425.0,8.0,,,0.0,0.0,1.0,0,0,0.0
19,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,2,28.53431656700559,3391,6,425.0,8.0,,,0.0,0.0,1.0,0,0,0.0
20,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,3,28.88077266898472,3391,6,425.0,8.0,,,0.0,0.0,1.0,0,0,0.0
