,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,1,25.661967942025512,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,2,26.07945522502996,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,3,26.443269385024905,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,4,26.171466539846733,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,5,25.78287149197422,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,6,25.88421469205059,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,7,26.057487840997055,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,8,26.294384927023202,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,random_PDFA_nominal_size_200_10_0,213,213,9,26.041028718929738,3535,6,443.0,8.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,1,14.157603745115921,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,2,13.953660272061825,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,3,14.05152548989281,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,4,13.954158365027979,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,5,14.098610325017944,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,6,14.055753149092197,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,7,14.136277652112767,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
16,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,8,14.182991712819785,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
17,WLStarLearner,random_PDFA_nominal_size_200_10_1,176,176,9,14.463904539123178,2560,5,367.0,7.0,,,0.0,0.0,1.0,0,0,0.0
18,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,1,21.547946973936632,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
19,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,2,22.148205414880067,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
20,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,3,21.00562258507125,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
21,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,4,21.226789222098887,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
22,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,5,21.69592387485318,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
23,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,6,21.176213220926,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
24,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,7,21.065969917923212,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
25,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,8,21.40732437092811,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
26,WLStarLearner,random_PDFA_nominal_size_200_10_2,201,201,9,21.286167750135064,2854,5,409.0,7.0,,,0.0,0.0,1.0,0,0,0.0
27,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,1,17.4791316408664,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
28,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,2,17.450260129990056,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
29,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,3,17.5915094059892,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
30,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,4,17.229524767957628,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
31,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,5,17.153733232058585,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
32,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,6,17.36495357612148,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
33,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,7,17.820139427902177,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
34,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,8,17.472204220946878,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
35,WLStarLearner,random_PDFA_nominal_size_200_10_3,187,187,9,17.14543498517014,3103,6,389.0,8.0,,,0.0,0.0,1.0,0,0,0.0
36,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,1,19.58046845998615,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
37,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,2,19.549168762983754,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
38,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,3,19.685345699079335,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
39,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,4,19.45745220500976,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
40,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,5,19.72450441494584,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
41,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,6,19.50352486385964,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
42,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,7,19.24552299710922,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
43,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,8,19.597594446968287,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
44,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,9,19.31476586102508,2349,4,393.0,6.0,,,0.0,0.0,1.0,0,0,0.0
45,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,1,19.66122521017678,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
46,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,2,19.82496930891648,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
47,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,3,19.822357703000307,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
48,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,4,19.741298895096406,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
49,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,5,19.974654849851504,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
50,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,6,19.61082793609239,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
51,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,7,19.89377029403113,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
52,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,8,19.594833781942725,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
53,WLStarLearner,random_PDFA_nominal_size_200_10_5,191,191,9,19.603912056889385,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
54,WLStarLearner,random_PDFA_nominal_size_200_10_6,207,207,1,28.630720946006477,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
