,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,1,27.932460092008114,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,2,28.180044112727046,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,3,27.617582378908992,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,4,27.16845753788948,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,5,27.015591949224472,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,6,27.45640737749636,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,7,27.220221530646086,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,8,27.998971939086914,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,PDFA - af5de165d09c427cbcb9d67260fa8243,198,198,9,27.137993831187487,1182,1,397.0,3.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,1,2.4149753246456385,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,2,2.4978640899062157,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,3,2.483360104262829,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,4,2.523603193461895,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,5,2.5270498245954514,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,6,2.4264483358711004,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,7,2.5262261740863323,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
16,WLStarLearner,PDFA - 13038bd0a6384895bc22628245128124,100,100,8,2.4429557509720325,594,1,201.0,3.0,,,0.0,0.0,1.0,0,0,0.0
