,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Alphabet Size
31,WLStarLearner,PDFA - 061dffc901714893af8aa8342cd5b86f,95,95,5,2.45878334203735,564,1,191.0,3.0,,,0.0,0.0,1.0,0,0,2
32,WLStarLearner,PDFA - 061dffc901714893af8aa8342cd5b86f,95,95,6,2.5959769950713962,564,1,191.0,3.0,,,0.0,0.0,1.0,0,0,2
33,WLStarLearner,PDFA - 061dffc901714893af8aa8342cd5b86f,95,95,7,2.4562451270176098,564,1,191.0,3.0,,,0.0,0.0,1.0,0,0,2
34,WLStarLearner,PDFA - 061dffc901714893af8aa8342cd5b86f,95,95,8,2.546485598082654,564,1,191.0,3.0,,,0.0,0.0,1.0,0,0,2
35,WLStarLearner,PDFA - 061dffc901714893af8aa8342cd5b86f,95,95,9,2.4357670720200986,564,1,191.0,3.0,,,0.0,0.0,1.0,0,0,2
36,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,1,1.3893607490463182,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
37,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,2,1.326581240980886,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
38,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,3,1.341532240039669,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
39,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,4,1.3346812900854275,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
40,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,5,1.4324138079537079,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
41,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,6,1.3619126830017194,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
42,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,7,1.3546673259697855,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
43,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,8,1.3689117000903934,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
44,WLStarLearner,PDFA - 6b05485345a642c8868f9f62681f2a7e,88,88,9,1.4904759989585727,522,1,177.0,3.0,,,0.0,0.0,1.0,0,0,2
45,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,1,2.7719300360186026,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
46,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,2,2.728921993984841,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
47,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,3,2.8974319309927523,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
