,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,1,26.166533848037943,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,2,26.397908754181117,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,3,26.088876077905297,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,4,26.176885355031118,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,5,25.47501422301866,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,6,26.390281358966604,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,7,25.990491549950093,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,8,25.54128942778334,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,random_PDFA_nominal_size_200_10_0,202,202,9,25.620050861034542,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,1,21.820808618096635,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,2,22.089204219169915,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,3,22.109865517821163,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,4,21.814456559950486,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,5,22.15397717989981,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,6,21.886938140029088,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,random_PDFA_nominal_size_200_10_1,183,183,7,22.63273638812825,3151,6,395.0,8.0,,,0.0,0.0,1.0,0,0,0.0
