,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
34,WLStarLearner,random_PDFA_nominal_size_200_10_3,202,202,8,24.299864971078932,2980,5,427.0,7.0,,,0.0,0.0,1.0,0,0,0.0
35,WLStarLearner,random_PDFA_nominal_size_200_10_3,202,202,9,23.51909747510217,2980,5,427.0,7.0,,,0.0,0.0,1.0,0,0,0.0
36,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,1,23.558063569944352,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
37,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,2,23.228546960977837,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
38,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,3,23.886219789041206,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
39,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,4,23.303676900919527,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
40,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,5,23.91651502903551,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
41,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,6,23.26380903320387,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
42,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,7,23.804050730075687,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
43,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,8,23.300927685108036,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
44,WLStarLearner,random_PDFA_nominal_size_200_10_4,194,194,9,23.828108720015734,2770,5,397.0,7.0,,,0.0,0.0,1.0,0,0,0.0
45,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,1,23.810557302087545,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
46,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,2,22.887497335206717,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
47,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,3,23.247361154993996,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
48,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,4,23.522541339043528,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
49,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,5,22.655477144988254,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
50,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,6,23.153224186971784,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
51,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,7,22.7643001540564,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
52,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,8,23.81725451000966,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
53,WLStarLearner,random_PDFA_nominal_size_200_10_5,203,203,9,24.71781241009012,3327,6,417.0,8.0,,,0.0,0.0,1.0,0,0,0.0
