,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,1,117.6888755778782,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,2,117.1826188871637,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,3,116.58812399581075,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,4,115.90578627726063,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,5,118.3485053498298,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,6,115.55395605927333,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,7,117.34990183776245,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,8,115.91703009372577,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,random_PDFA_nominal_size_300_16_0,309,308,9,115.43911543302238,4408,5,631.0,7.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,random_PDFA_nominal_size_300_16_1,289,289,1,80.95250907633454,4687,6,587.0,8.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,random_PDFA_nominal_size_300_16_1,289,289,2,79.37750693783164,4687,6,587.0,8.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,random_PDFA_nominal_size_300_16_1,289,289,3,80.22325952816755,4687,6,587.0,8.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,random_PDFA_nominal_size_300_16_1,289,289,4,79.41408469388261,4687,6,587.0,8.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,random_PDFA_nominal_size_300_16_1,289,289,5,79.9669997212477,4687,6,587.0,8.0,,,0.0,0.0,1.0,0,0,0.0
