,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,1,2.830932084999972,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,2,2.7805222289999847,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,3,2.7526987410000174,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,4,2.802534896999987,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,5,2.780880090999972,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,6,2.7682084189999614,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,7,2.7711049600000024,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,8,2.818690171999947,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,PDFA - c0e8bea6e5324b5387bd0371a18ad0b5,93,93,9,2.7946467340000254,1551,6,195.0,8.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,1,3.12499393600001,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,2,3.121703213000046,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,3,3.119013869000014,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,4,3.0938305529999752,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,5,3.1046337909999693,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,6,3.107150178999973,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,7,3.1108949930001017,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
16,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,8,3.1764584790000754,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
17,WLStarLearner,PDFA - 44e27cc705a24b60bd696abf4afdbd6c,102,102,9,3.0711030749999964,1524,5,219.0,7.0,,,0.0,0.0,1.0,0,0,0.0
18,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,1,3.9280062139999927,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
19,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,2,3.8610436410000375,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
20,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,3,3.783219360000089,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
21,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,4,3.8233940729999176,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
22,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,5,3.7479858710000826,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
23,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,6,3.8632879400000775,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
24,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,7,3.8930256360000612,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
25,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,8,4.006536845000028,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
26,WLStarLearner,PDFA - f544ae8424ea470ba451dd016b1d61bb,103,103,9,3.964610605999951,1580,5,227.0,7.0,,,0.0,0.0,1.0,0,0,0.0
27,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,1,3.8178764650000403,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
28,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,2,3.8269869709999966,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
29,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,3,3.766239404999965,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
30,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,4,3.7382925040000146,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
31,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,5,3.681115695000017,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
32,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,6,3.653072714000018,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
33,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,7,3.6971968139999944,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
34,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,8,3.6104713619999984,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
35,WLStarLearner,PDFA - 0eb832dc614f45968e28abe31c255f6f,110,110,9,3.7966678120000097,1622,5,233.0,7.0,,,0.0,0.0,1.0,0,0,0.0
36,WLStarLearner,PDFA - 4dd05ef74c6e443ab6b3c70127323eac,92,92,1,2.121293211999955,1314,5,189.0,7.0,,,0.0,0.0,1.0,0,0,0.0
37,WLStarLearner,PDFA - 4dd05ef74c6e443ab6b3c70127323eac,92,92,2,2.100565705000008,1314,5,189.0,7.0,,,0.0,0.0,1.0,0,0,0.0
38,WLStarLearner,PDFA - 4dd05ef74c6e443ab6b3c70127323eac,92,92,3,2.2641345449999335,1314,5,189.0,7.0,,,0.0,0.0,1.0,0,0,0.0
