,Algorithm,Instance,Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,LogProbError,WER,NDCG,OOPartition,OOTolerance
34,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,8,43.27479029260576,6102,4,,,0,0.0,0.0,1.0,0,0
35,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,9,43.053625389933586,6102,4,,,0,0.0,0.0,1.0,0,0
36,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,1,38.95631659030914,5973,2,,,0,0.0,0.0,1.0,0,0
37,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,2,37.31862385571003,5973,2,,,0,0.0,0.0,1.0,0,0
38,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,3,38.16277860291302,5973,2,,,0,0.0,0.0,1.0,0,0
39,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,4,37.306164875626564,5973,2,,,0,0.0,0.0,1.0,0,0
40,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,5,38.07675816118717,5973,2,,,0,0.0,0.0,1.0,0,0
41,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,6,38.11889779753983,5973,2,,,0,0.0,0.0,1.0,0,0
42,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,7,37.22628335841,5973,2,,,0,0.0,0.0,1.0,0,0
43,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,8,38.840499982237816,5973,2,,,0,0.0,0.0,1.0,0,0
44,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,9,37.34672157280147,5973,2,,,0,0.0,0.0,1.0,0,0
45,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,1,43.206548577174544,6105,4,,,0,0.0,0.0,1.0,0,0
46,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,2,43.1514031291008,6105,4,,,0,0.0,0.0,1.0,0,0
47,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,3,43.604549530893564,6105,4,,,0,0.0,0.0,1.0,0,0
48,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,4,43.62355953082442,6105,4,,,0,0.0,0.0,1.0,0,0
49,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,5,43.6684685125947,6105,4,,,0,0.0,0.0,1.0,0,0
50,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,6,43.76205245219171,6105,4,,,0,0.0,0.0,1.0,0,0
51,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,7,43.014820631593466,6105,4,,,0,0.0,0.0,1.0,0,0
52,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,8,43.12369408272207,6105,4,,,0,0.0,0.0,1.0,0,0
53,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,9,43.72300223261118,6105,4,,,0,0.0,0.0,1.0,0,0
54,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,1,38.665008805692196,5913,2,,,0,0.0,0.0,1.0,0,0
55,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,2,37.99647097848356,5913,2,,,0,0.0,0.0,1.0,0,0
56,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,3,38.28330305032432,5913,2,,,0,0.0,0.0,1.0,0,0
57,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,4,37.064434917643666,5913,2,,,0,0.0,0.0,1.0,0,0
58,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,5,37.07157723791897,5913,2,,,0,0.0,0.0,1.0,0,0
59,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,6,37.05867471918464,5913,2,,,0,0.0,0.0,1.0,0,0
60,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,7,38.38350566662848,5913,2,,,0,0.0,0.0,1.0,0,0
61,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,8,37.05355087481439,5913,2,,,0,0.0,0.0,1.0,0,0
62,QuantNaryTreeLearner,PDFA - 56983865d3f9499dbf4fd5ce8bb549f3,984,9,37.29511668346822,5913,2,,,0,0.0,0.0,1.0,0,0
63,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,1,43.5262395683676,6084,5,,,0,0.0,0.0,1.0,0,0
64,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,2,43.45522418618202,6084,5,,,0,0.0,0.0,1.0,0,0
65,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,3,44.167640110477805,6084,5,,,0,0.0,0.0,1.0,0,0
66,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,4,43.50398907251656,6084,5,,,0,0.0,0.0,1.0,0,0
67,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,5,44.80880117416382,6084,5,,,0,0.0,0.0,1.0,0,0
68,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,6,43.604444559663534,6084,5,,,0,0.0,0.0,1.0,0,0
69,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,7,44.44781179912388,6084,5,,,0,0.0,0.0,1.0,0,0
70,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,8,43.53670450672507,6084,5,,,0,0.0,0.0,1.0,0,0
71,QuantNaryTreeLearner,PDFA - 4e6a43b2f1394d588f27b21cf43b5740,1005,9,44.47341070510447,6084,5,,,0,0.0,0.0,1.0,0,0
72,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,1,39.21099693328142,6087,2,,,0,0.0,0.0,1.0,0,0
73,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,2,39.121356789022684,6087,2,,,0,0.0,0.0,1.0,0,0
