,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,1,0.5922321281395853,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,2,0.6214210840407759,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,3,0.5916453120298684,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,4,0.5756162039469928,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,5,0.587779977126047,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,6,0.5843989939894527,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,7,0.597877613035962,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,8,0.5606098677963018,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,PDFA - 618e53e4e4e741a08b915a52c0d456d5,56,56,9,0.5858971199486405,810,5,117.0,7.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,1,0.9421579379122704,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
10,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,2,0.972512423992157,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
11,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,3,0.9271162049844861,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
12,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,4,0.9809276121668518,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
13,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,5,0.9418688178993762,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
14,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,6,0.9727758199442178,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
15,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,7,0.9612604540307075,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
16,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,8,0.9403767050243914,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
17,WLStarLearner,PDFA - 98a96d3ac9f747cda8c6aa4f23dc4d1a,55,55,9,0.9715032160747796,1206,6,135.0,9.0,,,0.0,0.0,1.0,0,0,6.661338147750939e-19
18,WLStarLearner,PDFA - 41609681761b44848e89a8a8ea1451b0,53,53,1,0.48058830900117755,796,4,115.0,7.0,,,0.0,0.0,1.0,0,0,0.0
19,WLStarLearner,PDFA - 41609681761b44848e89a8a8ea1451b0,53,53,2,0.4944841838441789,796,4,115.0,7.0,,,0.0,0.0,1.0,0,0,0.0
20,WLStarLearner,PDFA - 41609681761b44848e89a8a8ea1451b0,53,53,3,0.4834522409364581,796,4,115.0,7.0,,,0.0,0.0,1.0,0,0,0.0
21,WLStarLearner,PDFA - 41609681761b44848e89a8a8ea1451b0,53,53,4,0.5605083559639752,796,4,115.0,7.0,,,0.0,0.0,1.0,0,0,0.0
