,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
0,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,1,63.779547932965215,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
1,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,2,64.73244352597976,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
2,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,3,64.10711812600493,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
3,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,4,65.71851048001554,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
4,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,5,64.300232402049,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
5,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,6,64.7128373250016,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
6,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,7,64.76033887598896,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
7,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,8,64.73290217801696,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
8,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,9,64.49666984798387,7323,10,611.0,12.0,,,0.0,0.0,1.0,0,0,10,0.1
9,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,1,98.89142251102021,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
10,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,2,98.3640779129928,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
11,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,3,97.99228287197184,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
12,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,4,98.42316457198467,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
13,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,5,97.66021897899918,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
14,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,6,98.2555029889918,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
15,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,7,98.74565662699752,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
16,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,8,98.93830270203762,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
17,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,9,98.84760263399221,3006,3,603.0,5.0,,,0.0,0.0,1.0,0,0,100,0.01
18,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,1,123.21227732201805,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
19,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,2,124.55950274696806,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
20,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,3,124.97549541597255,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
21,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,4,125.16990735300351,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
22,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,5,122.72707472095499,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
23,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,6,123.5215861829929,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
24,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,7,123.96416533301817,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
25,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,8,124.17090498597827,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
26,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,9,123.72414594894508,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
27,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,1,126.56833924097009,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,1000,0.001
28,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,2,126.86744582699612,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,1000,0.001
29,WLStarLearner,PDFA - b1f7f01c9cd549c1a7c28a1d96567480,291,291,3,127.03267715801485,2363,2,593.0,4.0,,,0.0,0.0,1.0,0,0,1000,0.001
