,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
29,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,3.4133766459999606,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
30,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,4,3.5723288420122117,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
31,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,5,3.6303098639764357,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
32,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,6,3.493335853010649,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
33,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,7,3.6599742289981805,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
34,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,8,3.6584416379919276,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
35,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,9,3.417043195979204,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
36,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,1,3.408614501997363,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
37,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,2,3.7024730190169066,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
38,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,3.6682656100019813,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
39,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,4,3.37172743701376,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
40,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,5,3.502436637005303,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
41,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,6,3.5630827139830217,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
42,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,7,3.3654383399989456,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
43,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,8,3.488497554004425,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
44,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,9,3.4849267099925783,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
45,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,1,3.4469019249954727,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
46,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,2,3.6014696519996505,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
47,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,3.5341727869817987,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
48,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,4,3.629674220981542,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
49,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,5,3.557578334992286,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
50,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,6,3.7155544359993655,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
51,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,7,3.62225784099428,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
52,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,8,3.544473002984887,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
53,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,9,3.4473202240187675,654,1,221.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
54,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,1,1.9622167930065189,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
55,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,2,1.8822576609964017,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
56,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,3,1.915407435997622,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
57,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,4,1.9201857360021677,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
58,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,5,1.9259225570131093,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
59,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,6,1.9410357130109333,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
60,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,7,1.9104390279971994,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
61,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,8,1.9974199550051708,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
62,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,93,9,1.9201814109983388,1535,5,193.0,8.0,,,0.00302937621777518,0.0,1.0,1,0,10,0.1
63,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,1,2.6886109269980807,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
64,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,2,2.4961977929924615,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
65,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,3,2.4979101889766753,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
